---,Armor,FireResistance,IceResistance,ShadowResistance,HolyResistance,NatureResistance,ArcaneResistance,Strength,Constitution,Intellect,Dexterity,HPS,MPS,MeleeCritRating,SpellCritRating,DodgeRating,BlockRating,AttackPower,SpellPower
1,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,20
2,40,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40
3,60,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,60,60
4,80,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,80,80
5,100,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100
6,120,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,120,120
7,140,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,140,140
8,160,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,160,160
9,180,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,180,180
10,200,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,200,200
11,220,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,220,220
12,240,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,240,240
13,260,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,260,260
14,280,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,280,280
15,300,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,300,300
16,320,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,320,320
17,340,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,340,340
18,360,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,360,360
19,380,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,380,380
20,400,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,400,400
21,420,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,420,420
