---,Armor,FireResistance,IceResistance,ShadowResistance,HolyResistance,NatureResistance,ArcaneResistance,Strength,Constitution,Intellect,Dexterity,HPS,MPS,MeleeCritRating,SpellCritRating,DodgeRating,BlockRating,AttackPower,SpellPower
1,50,4,4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,5,5
2,100,8,8,8,8,8,8,10,10,10,10,10,5,5,5,5,5,10,10
3,150,12,12,12,12,12,12,15,15,15,15,15,8,8,8,8,8,15,15
4,200,16,16,16,16,16,16,20,20,20,20,20,10,10,10,10,10,20,20
5,250,20,20,20,20,20,20,25,25,25,25,25,13,13,13,13,13,25,25
6,300,24,24,24,24,24,24,30,30,30,30,30,15,15,15,15,15,30,30
7,350,28,28,28,28,28,28,35,35,35,35,35,18,18,18,18,18,35,35
8,400,32,32,32,32,32,32,40,40,40,40,40,20,20,20,20,20,40,40
9,450,36,36,36,36,36,36,45,45,45,45,45,23,23,23,23,23,45,45
10,500,40,40,40,40,40,40,50,50,50,50,50,25,25,25,25,25,50,50
11,550,44,44,44,44,44,44,55,55,55,55,55,28,28,28,28,28,55,55
12,600,48,48,48,48,48,48,60,60,60,60,60,30,30,30,30,30,60,60
13,650,52,52,52,52,52,52,65,65,65,65,65,33,33,33,33,33,65,65
14,700,56,56,56,56,56,56,70,70,70,70,70,35,35,35,35,35,70,70
15,750,60,60,60,60,60,60,75,75,75,75,75,38,38,38,38,38,75,75
16,800,64,64,64,64,64,64,80,80,80,80,80,40,40,40,40,40,80,80
17,850,68,68,68,68,68,68,85,85,85,85,85,43,43,43,43,43,85,85
18,900,72,72,72,72,72,72,90,90,90,90,90,45,45,45,45,45,90,90
19,950,76,76,76,76,76,76,95,95,95,95,95,48,48,48,48,48,95,95
20,1000,80,80,80,80,80,80,100,100,100,100,100,50,50,50,50,50,100,100
21,1050,84,84,84,84,84,84,105,105,105,105,105,53,53,53,53,53,105,105
