---,Armor,FireResistance,IceResistance,ShadowResistance,HolyResistance,NatureResistance,ArcaneResistance,Strength,Constitution,Intellect,Dexterity,HPS,MPS,MeleeCritRating,SpellCritRating,DodgeRating,BlockRating,AttackPower,SpellPower
1,32,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3
2,64,5,5,5,5,5,5,6,6,6,6,6,3,3,3,3,3,6,6
3,96,8,8,8,8,8,8,10,10,10,10,10,5,5,5,5,5,10,10
4,128,10,10,10,10,10,10,13,13,13,13,13,6,6,6,6,6,13,13
5,160,13,13,13,13,13,13,16,16,16,16,16,8,8,8,8,8,16,16
6,192,15,15,15,15,15,15,19,19,19,19,19,10,10,10,10,10,19,19
7,224,18,18,18,18,18,18,22,22,22,22,22,11,11,11,11,11,22,22
8,256,20,20,20,20,20,20,26,26,26,26,26,13,13,13,13,13,26,26
9,288,23,23,23,23,23,23,29,29,29,29,29,14,14,14,14,14,29,29
10,320,25,25,25,25,25,25,32,32,32,32,32,16,16,16,16,16,32,32
11,352,28,28,28,28,28,28,35,35,35,35,35,18,18,18,18,18,35,35
12,384,30,30,30,30,30,30,38,38,38,38,38,19,19,19,19,19,38,38
13,416,33,33,33,33,33,33,42,42,42,42,42,21,21,21,21,21,42,42
14,448,35,35,35,35,35,35,45,45,45,45,45,22,22,22,22,22,45,45
15,480,38,38,38,38,38,38,48,48,48,48,48,24,24,24,24,24,48,48
16,512,40,40,40,40,40,40,51,51,51,51,51,26,26,26,26,26,51,51
17,544,43,43,43,43,43,43,54,54,54,54,54,27,27,27,27,27,54,54
18,576,45,45,45,45,45,45,58,58,58,58,58,29,29,29,29,29,58,58
19,608,48,48,48,48,48,48,61,61,61,61,61,30,30,30,30,30,61,61
20,640,50,50,50,50,50,50,64,64,64,64,64,32,32,32,32,32,64,64
21,672,53,53,53,53,53,53,67,67,67,67,67,34,34,34,34,34,67,67
