---,Armor,FireResistance,IceResistance,ShadowResistance,HolyResistance,NatureResistance,ArcaneResistance,Strength,Constitution,Intellect,Dexterity,HPS,MPS,MeleeCritRating,SpellCritRating,DodgeRating,BlockRating,AttackPower,SpellPower
1,24,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,2,2
2,48,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,5,5
3,72,8,8,8,8,8,8,7,7,7,7,7,4,4,4,4,4,7,7
4,96,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,10,10
5,120,13,13,13,13,13,13,12,12,12,12,12,6,6,6,6,6,12,12
6,144,15,15,15,15,15,15,14,14,14,14,14,7,7,7,7,7,14,14
7,168,18,18,18,18,18,18,17,17,17,17,17,8,8,8,8,8,17,17
8,192,20,20,20,20,20,20,19,19,19,19,19,10,10,10,10,10,19,19
9,216,23,23,23,23,23,23,22,22,22,22,22,11,11,11,11,11,22,22
10,240,25,25,25,25,25,25,24,24,24,24,24,12,12,12,12,12,24,24
11,264,28,28,28,28,28,28,26,26,26,26,26,13,13,13,13,13,26,26
12,288,30,30,30,30,30,30,29,29,29,29,29,14,14,14,14,14,29,29
13,312,33,33,33,33,33,33,31,31,31,31,31,16,16,16,16,16,31,31
14,336,35,35,35,35,35,35,34,34,34,34,34,17,17,17,17,17,34,34
15,360,38,38,38,38,38,38,36,36,36,36,36,18,18,18,18,18,36,36
16,384,40,40,40,40,40,40,38,38,38,38,38,19,19,19,19,19,38,38
17,408,43,43,43,43,43,43,41,41,41,41,41,20,20,20,20,20,41,41
18,432,45,45,45,45,45,45,43,43,43,43,43,22,22,22,22,22,43,43
19,456,48,48,48,48,48,48,46,46,46,46,46,23,23,23,23,23,46,46
20,480,50,50,50,50,50,50,48,48,48,48,48,24,24,24,24,24,48,48
21,504,53,53,53,53,53,53,50,50,50,50,50,25,25,25,25,25,50,50
